pr_id,wave,owner,level,risk,current_status,title,depends,disposition,phase,start_condition,maximum_post_replay_claim,rationale
PR-022,2,COMMON,L1,low,completed,PR delta template and review artifact generator,PR-011;PR-020,MIGRATE_REVALIDATE,0-1-baseline-and-harness,successor harness on current HEAD; preserve historical receipts byte-for-byte,INFRASTRUCTURE_OR_CONTRACT_READINESS; non-scientific,"Port the contract/harness to the current typed model and replace obsolete blanket blockers with typed, dischargeable conditions."
PR-023,2,COMMON,L1,medium,completed,Progress scoreboard and stagnation-triggered replanning,PR-005;PR-022,MIGRATE_REVALIDATE,0-1-baseline-and-harness,successor harness on current HEAD; preserve historical receipts byte-for-byte,INFRASTRUCTURE_OR_CONTRACT_READINESS; non-scientific,"Port the contract/harness to the current typed model and replace obsolete blanket blockers with typed, dischargeable conditions."
PR-030,3,COMMON,L2,high,completed,Deprecate TSC as active science owner and preserve legacy imports,PR-015,MIGRATE_REVALIDATE,0-1-baseline-and-harness,successor harness on current HEAD; preserve historical receipts byte-for-byte,INFRASTRUCTURE_OR_CONTRACT_READINESS; non-scientific,"Port the contract/harness to the current typed model and replace obsolete blanket blockers with typed, dischargeable conditions."
PR-031,3,COMMON,L2,high,completed,Generic semantic guards extracted from TSC legacy,PR-030,MIGRATE_REVALIDATE,0-1-baseline-and-harness,successor harness on current HEAD; preserve historical receipts byte-for-byte,INFRASTRUCTURE_OR_CONTRACT_READINESS; non-scientific,"Port the contract/harness to the current typed model and replace obsolete blanket blockers with typed, dischargeable conditions."
PR-032,3,COMMON,L2,medium,completed,Legacy theorem-to-test map retained for audit only,PR-030;PR-031,MIGRATE_REVALIDATE,0-1-baseline-and-harness,successor harness on current HEAD; preserve historical receipts byte-for-byte,INFRASTRUCTURE_OR_CONTRACT_READINESS; non-scientific,"Port the contract/harness to the current typed model and replace obsolete blanket blockers with typed, dischargeable conditions."
PR-040,4,COMMON,L2,high,completed,"SkySupport, mask hash, and coordinate-frame contracts",PR-010;PR-021,MIGRATE_REVALIDATE,0-1-baseline-and-harness,successor harness on current HEAD; preserve historical receipts byte-for-byte,INFRASTRUCTURE_OR_CONTRACT_READINESS; non-scientific,"Port the contract/harness to the current typed model and replace obsolete blanket blockers with typed, dischargeable conditions."
PR-041,4,HTT,L2,high,completed,ZoA ladder and selection-aware support modes,PR-040,MIGRATE_REVALIDATE,0-1-baseline-and-harness,successor harness on current HEAD; preserve historical receipts byte-for-byte,INFRASTRUCTURE_OR_CONTRACT_READINESS; non-scientific,"Port the contract/harness to the current typed model and replace obsolete blanket blockers with typed, dischargeable conditions."
PR-042,4,HTT,L2,high,completed,PreferredAxis production gate and downstream synthesis lock,PR-040;PR-041,MIGRATE_REVALIDATE,0-1-baseline-and-harness,successor harness on current HEAD; preserve historical receipts byte-for-byte,INFRASTRUCTURE_OR_CONTRACT_READINESS; non-scientific,"Port the contract/harness to the current typed model and replace obsolete blanket blockers with typed, dischargeable conditions."
PR-043,4,HTT,L3,high,completed,Mock calibration harness for axis and direction claims,PR-041;PR-042,FRESH_SYNTHETIC,3-and-7-statistical-replay,successor harness on current HEAD; preserve historical receipts byte-for-byte,VALIDATED_SYNTHETIC or MODEL_CONDITIONAL after coverage/PPC/null gates,"Rerun with fresh preregistered seeds, held-out cases, covariance/null calibration, weak-ID and open-set abstention."
PR-050,5,MIO,L2,medium,completed,DepartureBundle and comparator/frame metadata,PR-010;PR-014,LEGACY_PUSHFORWARD,1-3-compatibility,successor harness on current HEAD; preserve historical receipts byte-for-byte,LEGACY_PUSHFORWARD_ONLY,"Keep scalar x,Q,Pi,F,G_F as a regression/pushforward view of the canonical multicomponent state, never as the inference state."
PR-051,5,MIO,L2,high,completed,BudgetSpec and denominator-policy sensitivity,PR-050;PR-014,LEGACY_PUSHFORWARD,1-3-compatibility,successor harness on current HEAD; preserve historical receipts byte-for-byte,LEGACY_PUSHFORWARD_ONLY,"Keep scalar x,Q,Pi,F,G_F as a regression/pushforward view of the canonical multicomponent state, never as the inference state."
PR-052,5,MIO,L2,high,completed,Q normalized score implementation,PR-050;PR-051,LEGACY_PUSHFORWARD,1-3-compatibility,successor harness on current HEAD; preserve historical receipts byte-for-byte,LEGACY_PUSHFORWARD_ONLY,"Keep scalar x,Q,Pi,F,G_F as a regression/pushforward view of the canonical multicomponent state, never as the inference state."
PR-053,5,MIO,L2,high,completed,F certified filling fraction implementation,PR-051;PR-052,LEGACY_PUSHFORWARD,1-3-compatibility,successor harness on current HEAD; preserve historical receipts byte-for-byte,LEGACY_PUSHFORWARD_ONLY,"Keep scalar x,Q,Pi,F,G_F as a regression/pushforward view of the canonical multicomponent state, never as the inference state."
PR-054,5,MIO,L2,medium,completed,Pi exceedance curve and threshold discipline,PR-052;PR-053,LEGACY_PUSHFORWARD,1-3-compatibility,successor harness on current HEAD; preserve historical receipts byte-for-byte,LEGACY_PUSHFORWARD_ONLY,"Keep scalar x,Q,Pi,F,G_F as a regression/pushforward view of the canonical multicomponent state, never as the inference state."
PR-055,5,MIO,L2,high,completed,G_F depth gap and log-gap robustness,PR-053;PR-054;PR-040,LEGACY_PUSHFORWARD,1-3-compatibility,successor harness on current HEAD; preserve historical receipts byte-for-byte,LEGACY_PUSHFORWARD_ONLY,"Keep scalar x,Q,Pi,F,G_F as a regression/pushforward view of the canonical multicomponent state, never as the inference state."
PR-056,5,MIO,L3,medium,completed,MIO report-card generator for x/Q/Pi/F/G,PR-050;PR-051;PR-052;PR-053;PR-054;PR-055;PR-011,LEGACY_PUSHFORWARD,1-3-compatibility,successor harness on current HEAD; preserve historical receipts byte-for-byte,LEGACY_PUSHFORWARD_ONLY,"Keep scalar x,Q,Pi,F,G_F as a regression/pushforward view of the canonical multicomponent state, never as the inference state."
PR-060,6,HTT,L3,high,completed,Response-overlap and rank audit for local/global discrimination,PR-014;PR-040;PR-055,FRESH_SYNTHETIC_AND_FULL_REFIT,3-and-7-statistical-replay,successor harness on current HEAD; preserve historical receipts byte-for-byte,VALIDATED_SYNTHETIC or MODEL_CONDITIONAL after coverage/PPC/null gates,"Rerun with fresh preregistered seeds, held-out cases, covariance/null calibration, weak-ID and open-set abstention."
PR-061,6,HTT,L3,high,completed,Local boost and local-structure null models,PR-043;PR-060,FRESH_SYNTHETIC_AND_FULL_REFIT,3-and-7-statistical-replay,successor harness on current HEAD; preserve historical receipts byte-for-byte,VALIDATED_SYNTHETIC or MODEL_CONDITIONAL after coverage/PPC/null gates,"Rerun with fresh preregistered seeds, held-out cases, covariance/null calibration, weak-ID and open-set abstention."
PR-062,6,HTT,L3,high,completed,Survey-axis and selection-response null models,PR-043;PR-061,FRESH_SYNTHETIC_AND_FULL_REFIT,3-and-7-statistical-replay,successor harness on current HEAD; preserve historical receipts byte-for-byte,VALIDATED_SYNTHETIC or MODEL_CONDITIONAL after coverage/PPC/null gates,"Rerun with fresh preregistered seeds, held-out cases, covariance/null calibration, weak-ID and open-set abstention."
PR-063,6,HTT,L3,high,completed,Local/global mixture likelihood skeleton,PR-060;PR-061;PR-062,FRESH_SYNTHETIC_AND_FULL_REFIT,3-and-7-statistical-replay,successor harness on current HEAD; preserve historical receipts byte-for-byte,VALIDATED_SYNTHETIC or MODEL_CONDITIONAL after coverage/PPC/null gates,"Rerun with fresh preregistered seeds, held-out cases, covariance/null calibration, weak-ID and open-set abstention."
PR-064,6,HTT,L3,high,completed,Matched-complexity null competition harness,PR-063,FRESH_SYNTHETIC_AND_FULL_REFIT,3-and-7-statistical-replay,successor harness on current HEAD; preserve historical receipts byte-for-byte,VALIDATED_SYNTHETIC or MODEL_CONDITIONAL after coverage/PPC/null gates,"Rerun with fresh preregistered seeds, held-out cases, covariance/null calibration, weak-ID and open-set abstention."
PR-065,6,HTT,L3,high,completed,"Prior sweep, PPC, and LOOCV gates for HTT claims",PR-063;PR-064,FRESH_SYNTHETIC_AND_FULL_REFIT,3-and-7-statistical-replay,successor harness on current HEAD; preserve historical receipts byte-for-byte,VALIDATED_SYNTHETIC or MODEL_CONDITIONAL after coverage/PPC/null gates,"Rerun with fresh preregistered seeds, held-out cases, covariance/null calibration, weak-ID and open-set abstention."
PR-066,6,HTT,L3,medium,completed,Posterior pushforward for Q/F/Pi/G without MIO leakage,PR-056;PR-063;PR-065,FRESH_SYNTHETIC_AND_FULL_REFIT,3-and-7-statistical-replay,successor harness on current HEAD; preserve historical receipts byte-for-byte,VALIDATED_SYNTHETIC or MODEL_CONDITIONAL after coverage/PPC/null gates,"Rerun with fresh preregistered seeds, held-out cases, covariance/null calibration, weak-ID and open-set abstention."
PR-070,7,OBSSTAT,L2,medium,completed,Create obsstat package and ObservableVector contract,PR-010;PR-011,MIGRATE_REVALIDATE,0-1-baseline-and-harness,successor harness on current HEAD; preserve historical receipts byte-for-byte,INFRASTRUCTURE_OR_CONTRACT_READINESS; non-scientific,"Port the contract/harness to the current typed model and replace obsolete blanket blockers with typed, dischargeable conditions."
PR-071,7,OBSSTAT,L2,high,completed,Harmonic and spin convention registry,PR-070,MIGRATE_REVALIDATE,0-1-baseline-and-harness,successor harness on current HEAD; preserve historical receipts byte-for-byte,INFRASTRUCTURE_OR_CONTRACT_READINESS; non-scientific,"Port the contract/harness to the current typed model and replace obsolete blanket blockers with typed, dischargeable conditions."
PR-072,7,OBSSTAT,L2,medium,completed,"Low-ell scalar summaries as features, not evidence",PR-071,MIGRATE_REVALIDATE,0-1-baseline-and-harness,successor harness on current HEAD; preserve historical receipts byte-for-byte,INFRASTRUCTURE_OR_CONTRACT_READINESS; non-scientific,"Port the contract/harness to the current typed model and replace obsolete blanket blockers with typed, dischargeable conditions."
PR-073,7,OBSSTAT,L2,high,completed,Morphology axes and alignment features,PR-071;PR-042,FRESH_SYNTHETIC,3-and-7-statistical-replay,successor harness on current HEAD; preserve historical receipts byte-for-byte,VALIDATED_SYNTHETIC or MODEL_CONDITIONAL after coverage/PPC/null gates,"Rerun with fresh preregistered seeds, held-out cases, covariance/null calibration, weak-ID and open-set abstention."
PR-074,7,OBSSTAT,L3,high,completed,Template-fit diagnostics with orientation scan metadata,PR-071;PR-073,FRESH_SYNTHETIC,3-and-7-statistical-replay,successor harness on current HEAD; preserve historical receipts byte-for-byte,VALIDATED_SYNTHETIC or MODEL_CONDITIONAL after coverage/PPC/null gates,"Rerun with fresh preregistered seeds, held-out cases, covariance/null calibration, weak-ID and open-set abstention."
PR-075,7,OBSSTAT,L3,high,completed,BiPoSH/sparse covariance feature extraction,PR-071;PR-074,FRESH_SYNTHETIC,3-and-7-statistical-replay,successor harness on current HEAD; preserve historical receipts byte-for-byte,VALIDATED_SYNTHETIC or MODEL_CONDITIONAL after coverage/PPC/null gates,"Rerun with fresh preregistered seeds, held-out cases, covariance/null calibration, weak-ID and open-set abstention."
PR-076,7,OBSSTAT,L3,high,completed,Null ensembles and look-elsewhere bookkeeping,PR-072;PR-073;PR-074;PR-075,FRESH_SYNTHETIC,3-and-7-statistical-replay,successor harness on current HEAD; preserve historical receipts byte-for-byte,VALIDATED_SYNTHETIC or MODEL_CONDITIONAL after coverage/PPC/null gates,"Rerun with fresh preregistered seeds, held-out cases, covariance/null calibration, weak-ID and open-set abstention."
PR-080,8,BASS_PY,L2,high,completed,External transfer registry wrapper for current AniCLASS-calibrated path,PR-014;PR-070,MIGRATE_REVALIDATE,0-1-baseline-and-harness,successor harness on current HEAD; preserve historical receipts byte-for-byte,INFRASTRUCTURE_OR_CONTRACT_READINESS; non-scientific,"Port the contract/harness to the current typed model and replace obsolete blanket blockers with typed, dischargeable conditions."
PR-081,8,BASS_PY,L2,medium,completed,Future native low-ell adapter stubs with no fake solver implementation,PR-080,MIGRATE_REVALIDATE,0-1-baseline-and-harness,successor harness on current HEAD; preserve historical receipts byte-for-byte,INFRASTRUCTURE_OR_CONTRACT_READINESS; non-scientific,"Port the contract/harness to the current typed model and replace obsolete blanket blockers with typed, dischargeable conditions."
PR-082,8,BASS_PY,L2,medium,completed,AtlasEntryLite and transfer side-by-side comparison schema,PR-080;PR-081;PR-070,MIGRATE_REVALIDATE,0-1-baseline-and-harness,successor harness on current HEAD; preserve historical receipts byte-for-byte,INFRASTRUCTURE_OR_CONTRACT_READINESS; non-scientific,"Port the contract/harness to the current typed model and replace obsolete blanket blockers with typed, dischargeable conditions."
PR-083,8,BASS_PY,L3,high,completed,Budget ceiling optimizer policy interface,PR-051;PR-082,MIGRATE_REVALIDATE,0-1-baseline-and-harness,successor harness on current HEAD; preserve historical receipts byte-for-byte,INFRASTRUCTURE_OR_CONTRACT_READINESS; non-scientific,"Port the contract/harness to the current typed model and replace obsolete blanket blockers with typed, dischargeable conditions."
PR-084,8,COMMON,L3,medium,completed,Transfer sensitivity report for current results,PR-080;PR-082;PR-083;PR-056,MIGRATE_REVALIDATE,0-1-baseline-and-harness,successor harness on current HEAD; preserve historical receipts byte-for-byte,INFRASTRUCTURE_OR_CONTRACT_READINESS; non-scientific,"Port the contract/harness to the current typed model and replace obsolete blanket blockers with typed, dischargeable conditions."
PR-090,9,COMMON,L3,high,completed,Full-covariance MES template branch synthetic harness,PR-074;PR-076;PR-082,FRESH_SYNTHETIC,3-and-7-statistical-replay,successor harness on current HEAD; preserve historical receipts byte-for-byte,VALIDATED_SYNTHETIC or MODEL_CONDITIONAL after coverage/PPC/null gates,"Rerun with fresh preregistered seeds, held-out cases, covariance/null calibration, weak-ID and open-set abstention."
PR-091,9,COMMON,L3,high,completed,Full-covariance MES covariance/BiPoSH branch synthetic harness,PR-075;PR-076;PR-090,FRESH_SYNTHETIC,3-and-7-statistical-replay,successor harness on current HEAD; preserve historical receipts byte-for-byte,VALIDATED_SYNTHETIC or MODEL_CONDITIONAL after coverage/PPC/null gates,"Rerun with fresh preregistered seeds, held-out cases, covariance/null calibration, weak-ID and open-set abstention."
PR-092,9,COMMON,L3,medium,completed,Morphological information gain report,PR-090;PR-091;PR-011,FRESH_SYNTHETIC,3-and-7-statistical-replay,successor harness on current HEAD; preserve historical receipts byte-for-byte,VALIDATED_SYNTHETIC or MODEL_CONDITIONAL after coverage/PPC/null gates,"Rerun with fresh preregistered seeds, held-out cases, covariance/null calibration, weak-ID and open-set abstention."
PR-100,10,MIO,L3,high,completed,MIO directional coherence certificate with covariance status,PR-013;PR-040;PR-076,FRESH_SYNTHETIC_AND_LEGACY_PUSHFORWARD,3-and-7-statistical-replay,successor harness on current HEAD; preserve historical receipts byte-for-byte,VALIDATED_SYNTHETIC or MODEL_CONDITIONAL after coverage/PPC/null gates,"Rerun with fresh preregistered seeds, held-out cases, covariance/null calibration, weak-ID and open-set abstention."
PR-101,10,MIO,L3,high,completed,Redshift-binned coherence and G_F certificate bridge,PR-055;PR-100,FRESH_SYNTHETIC_AND_LEGACY_PUSHFORWARD,3-and-7-statistical-replay,successor harness on current HEAD; preserve historical receipts byte-for-byte,VALIDATED_SYNTHETIC or MODEL_CONDITIONAL after coverage/PPC/null gates,"Rerun with fresh preregistered seeds, held-out cases, covariance/null calibration, weak-ID and open-set abstention."
PR-102,10,MIO,L3,high,completed,FLRW tension diagnostic with null predictive distribution gate,PR-076;PR-100,FRESH_SYNTHETIC_AND_FULL_REFIT_AND_LEGACY_PUSHFORWARD,3-and-7-statistical-replay,successor harness on current HEAD; preserve historical receipts byte-for-byte,VALIDATED_SYNTHETIC or MODEL_CONDITIONAL after coverage/PPC/null gates,"Rerun with fresh preregistered seeds, held-out cases, covariance/null calibration, weak-ID and open-set abstention."
PR-103,10,MIO,L3,medium,completed,Predictive residual atlas and evidence anatomy without merge,PR-013;PR-065;PR-100,FRESH_SYNTHETIC_AND_FULL_REFIT_AND_LEGACY_PUSHFORWARD,3-and-7-statistical-replay,successor harness on current HEAD; preserve historical receipts byte-for-byte,VALIDATED_SYNTHETIC or MODEL_CONDITIONAL after coverage/PPC/null gates,"Rerun with fresh preregistered seeds, held-out cases, covariance/null calibration, weak-ID and open-set abstention."
PR-110,11,COMMON,L4,medium,completed,Result Pack A: scalar-to-morphology upgrade report,PR-056;PR-076;PR-092,LEGACY_PUSHFORWARD_AND_REGENERATE,1-3-compatibility,successor harness on current HEAD; preserve historical receipts byte-for-byte,LEGACY_PUSHFORWARD_ONLY,"Keep scalar x,Q,Pi,F,G_F as a regression/pushforward view of the canonical multicomponent state, never as the inference state."
PR-111,11,COMMON,L4,high,completed,Result Pack B: local/global discrimination report,PR-066;PR-100;PR-101,REGENERATE,8-reporting,successor harness on current HEAD; preserve historical receipts byte-for-byte,INHERITS_LOWEST_UPSTREAM_CEILING,Regenerate only after all upstream receipts are current; figures and prose may not exceed their source evidence.
PR-112,11,COMMON,L4,medium,completed,Result Pack C: MIO observatory certificates,PR-100;PR-101;PR-102;PR-103,LEGACY_PUSHFORWARD_AND_REGENERATE,1-3-compatibility,successor harness on current HEAD; preserve historical receipts byte-for-byte,LEGACY_PUSHFORWARD_ONLY,"Keep scalar x,Q,Pi,F,G_F as a regression/pushforward view of the canonical multicomponent state, never as the inference state."
PR-113,11,MANUSCRIPT,L3,medium,completed,Manuscript/figure provenance inventory and quarantine updates,PR-011;PR-012;PR-015,REGENERATE,8-reporting,successor harness on current HEAD; preserve historical receipts byte-for-byte,INHERITS_LOWEST_UPSTREAM_CEILING,Regenerate only after all upstream receipts are current; figures and prose may not exceed their source evidence.
PR-114,11,COMMON,L4,medium,completed,External audit package generator,PR-110;PR-111;PR-112;PR-113,REGENERATE,8-reporting,successor harness on current HEAD; preserve historical receipts byte-for-byte,INHERITS_LOWEST_UPSTREAM_CEILING,Regenerate only after all upstream receipts are current; figures and prose may not exceed their source evidence.
PR-115,11,COMMON,L4,high,completed,Publication claim freeze and final hostile review loop,PR-114,REGENERATE,8-reporting,successor harness on current HEAD; preserve historical receipts byte-for-byte,INHERITS_LOWEST_UPSTREAM_CEILING,Regenerate only after all upstream receipts are current; figures and prose may not exceed their source evidence.
PR-116,12,COMMON,L1,medium,completed,Safe GPT-5.6 physmath audit harness integration,PR-115,MIGRATE_REVALIDATE,0-1-baseline-and-harness,successor harness on current HEAD; preserve historical receipts byte-for-byte,INFRASTRUCTURE_OR_CONTRACT_READINESS; non-scientific,"Port the contract/harness to the current typed model and replace obsolete blanket blockers with typed, dischargeable conditions."
PR-117,12,COMMON,L4,high,completed,JCAP/PRD delta adversarial audit with execution receipts,PR-116,REGENERATE,8-reporting,successor harness on current HEAD; preserve historical receipts byte-for-byte,INHERITS_LOWEST_UPSTREAM_CEILING,Regenerate only after all upstream receipts are current; figures and prose may not exceed their source evidence.
PR-118,12,COMMON,L4,high,completed,Counterfactual advocate ranking and final referee closeout,PR-117,REGENERATE,8-reporting,successor harness on current HEAD; preserve historical receipts byte-for-byte,INHERITS_LOWEST_UPSTREAM_CEILING,Regenerate only after all upstream receipts are current; figures and prose may not exceed their source evidence.
PR-119,13,COMMON,L1,low,completed,Post-PR-118 DAG intake와 claim 상태기계,PR-118,MIGRATE_REVALIDATE,0-1-baseline-and-harness,successor harness on current HEAD; preserve historical receipts byte-for-byte,INFRASTRUCTURE_OR_CONTRACT_READINESS; non-scientific,"Port the contract/harness to the current typed model and replace obsolete blanket blockers with typed, dischargeable conditions."
PR-120,13,COMMON,L1,medium,completed,두 CF4 P0와 downstream consumer의 즉시 quarantine,PR-119,MIGRATE_REVALIDATE,0-1-baseline-and-harness,successor harness on current HEAD; preserve historical receipts byte-for-byte,INFRASTRUCTURE_OR_CONTRACT_READINESS; non-scientific,"Port the contract/harness to the current typed model and replace obsolete blanket blockers with typed, dischargeable conditions."
PR-121,13,COMMON,L1,medium,completed,"Hermetic install, owner namespace와 detached replay",PR-119,MIGRATE_REVALIDATE,0-1-baseline-and-harness,successor harness on current HEAD; preserve historical receipts byte-for-byte,INFRASTRUCTURE_OR_CONTRACT_READINESS; non-scientific,"Port the contract/harness to the current typed model and replace obsolete blanket blockers with typed, dischargeable conditions."
PR-122,13,COMMON,L1,high,completed,Claim-addressed evidence graph와 content-addressed build DAG,PR-119;PR-121,MIGRATE_REVALIDATE,0-1-baseline-and-harness,successor harness on current HEAD; preserve historical receipts byte-for-byte,INFRASTRUCTURE_OR_CONTRACT_READINESS; non-scientific,"Port the contract/harness to the current typed model and replace obsolete blanket blockers with typed, dischargeable conditions."
PR-123,13,COMMON,L1,high,completed,"독립 수치 oracle, K6 continuum branch와 mutation laboratory",PR-121;PR-122,FRESH_SYNTHETIC,3-and-7-statistical-replay,successor harness on current HEAD; preserve historical receipts byte-for-byte,VALIDATED_SYNTHETIC or MODEL_CONDITIONAL after coverage/PPC/null gates,"Rerun with fresh preregistered seeds, held-out cases, covariance/null calibration, weak-ID and open-set abstention."
PR-124,14,COMMON,L2,medium,completed,Four-axis CAS contract + derivation-lineage oracle,PR-123,PROOF_READJUDICATION,2-proof-adjudication,successor harness on current HEAD; preserve historical receipts byte-for-byte,EXACT_OR_CONDITIONAL_THEORY only after record-specific independent adjudication,"Recheck statement, assumptions, frame, units, branch/order, counterexamples and proof-class evidence; no bulk promotion."
PR-125,14,COMMON,L2,medium,completed,"Canonical frame, order, domain과 premise contract",PR-124,PROOF_READJUDICATION,2-proof-adjudication,successor harness on current HEAD; preserve historical receipts byte-for-byte,EXACT_OR_CONDITIONAL_THEORY only after record-specific independent adjudication,"Recheck statement, assumptions, frame, units, branch/order, counterexamples and proof-class evidence; no bulk promotion."
PR-126,14,COMMON,L2,high,completed,One-way FLRW/EGS와 counterexample registry,PR-124;PR-125,PROOF_READJUDICATION,2-proof-adjudication,successor harness on current HEAD; preserve historical receipts byte-for-byte,EXACT_OR_CONDITIONAL_THEORY only after record-specific independent adjudication,"Recheck statement, assumptions, frame, units, branch/order, counterexamples and proof-class evidence; no bulk promotion."
PR-127,14,COMMON,L2,high,completed,Cancellation-preserving graded/PSD-cone non-identification theorem,PR-125;PR-126,PROOF_READJUDICATION,2-proof-adjudication,successor harness on current HEAD; preserve historical receipts byte-for-byte,EXACT_OR_CONDITIONAL_THEORY only after record-specific independent adjudication,"Recheck statement, assumptions, frame, units, branch/order, counterexamples and proof-class evidence; no bulk promotion."
PR-128,14,COMMON,L2,medium,completed,NT2 coefficient authority와 downstream invalidation,PR-124;PR-125;PR-127,PROOF_READJUDICATION,2-proof-adjudication,successor harness on current HEAD; preserve historical receipts byte-for-byte,EXACT_OR_CONDITIONAL_THEORY only after record-specific independent adjudication,"Recheck statement, assumptions, frame, units, branch/order, counterexamples and proof-class evidence; no bulk promotion."
